
20/10/2025,15:18:02,Rosto 1,Aprovado,sim,1
20/10/2025,15:18:03,Rosto 1,Aprovado,nao,2
20/10/2025,15:18:04,Rosto 1,Aprovado,nao,3
20/10/2025,15:18:05,Rosto 1,Aprovado,nao,4
20/10/2025,15:18:06,Rosto 1,Aprovado,nao,5
20/10/2025,15:18:07,Rosto 1,Aprovado,nao,6
20/10/2025,15:18:08,Rosto 1,Aprovado,nao,7
20/10/2025,15:18:09,Rosto 1,Aprovado,nao,8
20/10/2025,15:18:10,Rosto 1,Aprovado,nao,9
20/10/2025,15:18:11,Rosto 1,Aprovado,nao,10
20/10/2025,15:18:12,Rosto 2,Negado,sim,1
20/10/2025,15:18:13,Rosto 2,Negado,nao,2
20/10/2025,15:18:14,Rosto 2,Negado,nao,3
20/10/2025,15:18:16,Rosto 2,Negado,nao,4
20/10/2025,15:18:17,Rosto 1,Aprovado,nao,11
20/10/2025,15:18:18,Rosto 1,Aprovado,nao,12
20/10/2025,15:18:19,Rosto 1,Aprovado,nao,13
20/10/2025,15:18:20,Rosto 1,Aprovado,nao,14
20/10/2025,15:18:21,Rosto 1,Aprovado,nao,15
20/10/2025,15:18:22,Rosto 1,Aprovado,nao,16
20/10/2025,15:18:23,Rosto 1,Aprovado,nao,17
20/10/2025,15:18:24,Rosto 1,Aprovado,nao,18
20/10/2025,15:18:25,Rosto 1,Aprovado,nao,19
20/10/2025,15:18:26,Rosto 2,Negado,nao,5
20/10/2025,15:18:27,Rosto 2,Negado,nao,6
20/10/2025,15:18:28,Rosto 2,Negado,nao,7
20/10/2025,15:18:29,Rosto 2,Negado,nao,8
20/10/2025,15:19:09,Rosto 1,Aprovado,sim,1
20/10/2025,15:19:10,Rosto 1,Aprovado,nao,2
20/10/2025,15:19:11,Rosto 1,Aprovado,nao,3
20/10/2025,15:19:12,Rosto 1,Aprovado,nao,4
20/10/2025,15:19:13,Rosto 1,Aprovado,nao,5
20/10/2025,15:19:14,Rosto 1,Aprovado,nao,6
20/10/2025,15:19:15,Rosto 1,Aprovado,nao,7
20/10/2025,15:19:16,Rosto 1,Aprovado,nao,8
20/10/2025,15:19:17,Rosto 1,Aprovado,nao,9
20/10/2025,15:19:18,Rosto 2,Negado,sim,1
20/10/2025,15:19:19,Rosto 2,Negado,nao,2
20/10/2025,15:19:20,Rosto 2,Negado,nao,3
20/10/2025,15:19:21,Rosto 1,Aprovado,nao,10
20/10/2025,15:19:22,Rosto 1,Aprovado,nao,11
20/10/2025,15:19:23,Rosto 1,Aprovado,nao,12
20/10/2025,15:19:24,Rosto 1,Aprovado,nao,13
20/10/2025,15:34:46,Rosto 1,Aprovado,sim,1
20/10/2025,15:34:47,Rosto 1,Aprovado,nao,2
20/10/2025,15:34:48,Rosto 1,Aprovado,nao,3
20/10/2025,15:34:49,Rosto 1,Aprovado,nao,4
20/10/2025,15:34:50,Rosto 1,Aprovado,nao,5
20/10/2025,15:34:51,Rosto 1,Aprovado,nao,6
20/10/2025,15:34:52,Rosto 1,Aprovado,nao,7
20/10/2025,15:34:53,Rosto 1,Aprovado,nao,8
20/10/2025,15:34:54,Rosto 2,Negado,sim,1
20/10/2025,15:34:55,Rosto 2,Negado,nao,2
20/10/2025,15:34:56,Rosto 2,Negado,nao,3
20/10/2025,15:34:57,Rosto 2,Negado,nao,4
20/10/2025,15:34:58,Rosto 1,Aprovado,nao,9
20/10/2025,15:34:59,Rosto 1,Aprovado,nao,10
20/10/2025,15:35:00,Rosto 1,Aprovado,nao,11
20/10/2025,15:35:01,Rosto 1,Aprovado,nao,12
20/10/2025,15:35:02,Rosto 1,Aprovado,nao,13
20/10/2025,15:35:03,Rosto 1,Aprovado,nao,14
20/10/2025,15:35:04,Rosto 1,Aprovado,nao,15
20/10/2025,15:35:05,Rosto 1,Aprovado,nao,16
20/10/2025,15:35:06,Rosto 2,Negado,nao,5
20/10/2025,15:35:07,Rosto 2,Negado,nao,6
20/10/2025,15:35:08,Rosto 2,Negado,nao,7
20/10/2025,15:35:09,Rosto 2,Negado,nao,8
20/10/2025,15:41:21,Rosto 1,Aprovado,sim,1
20/10/2025,15:41:22,Rosto 1,Aprovado,nao,2
20/10/2025,15:41:23,Rosto 1,Aprovado,nao,3
20/10/2025,15:41:24,Rosto 1,Aprovado,nao,4
20/10/2025,15:41:25,Rosto 1,Aprovado,nao,5
20/10/2025,15:41:26,Rosto 1,Aprovado,nao,6
20/10/2025,15:41:27,Rosto 1,Aprovado,nao,7
20/10/2025,15:41:28,Rosto 1,Aprovado,nao,8
20/10/2025,15:41:29,Rosto 1,Aprovado,nao,9
20/10/2025,15:41:30,Rosto 1,Aprovado,nao,10
20/10/2025,15:41:31,Rosto 2,Negado,sim,1
20/10/2025,15:41:32,Rosto 2,Negado,nao,2
20/10/2025,15:41:33,Rosto 2,Negado,nao,3
20/10/2025,15:41:34,Rosto 2,Negado,nao,4
20/10/2025,15:41:35,Rosto 1,Aprovado,nao,11
20/10/2025,15:41:36,Rosto 1,Aprovado,nao,12
20/10/2025,15:41:37,Rosto 1,Aprovado,nao,13
20/10/2025,15:41:38,Rosto 1,Aprovado,nao,14
20/10/2025,15:41:39,Rosto 1,Aprovado,nao,15
20/10/2025,15:41:40,Rosto 1,Aprovado,nao,16
20/10/2025,15:41:41,Rosto 1,Aprovado,nao,17
20/10/2025,15:41:42,Rosto 1,Aprovado,nao,18
20/10/2025,15:41:43,Rosto 1,Aprovado,nao,19
20/10/2025,15:41:44,Rosto 1,Aprovado,nao,20
